PERIODO,COLE_AREA_UBICACION,COLE_BILINGUE,COLE_CALENDARIO,COLE_CARACTER,COLE_DEPTO_UBICACION,COLE_GENERO,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_NATURALEZA,COLE_SEDE_PRINCIPAL,ESTU_DEPTO_RESIDE,ESTU_GENERO,ESTU_MCPIO_RESIDE,ESTU_NACIONALIDAD,ESTU_PAIS_RESIDE,ESTU_PRIVADO_LIBERTAD,FAMI_CUARTOSHOGAR,FAMI_EDUCACIONMADRE,FAMI_EDUCACIONPADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEAUTOMOVIL,FAMI_TIENECOMPUTADOR,FAMI_TIENEINTERNET,FAMI_TIENELAVADORA,real_puntaje_alto,prediccion_puntaje_alto
20194,RURAL,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,FIRAVITOBA,OFICIAL,S,BOYACA,M,FIRAVITOBA,COLOMBIA,COLOMBIA,N,Seis o mas,Primaria completa,Primaria completa,Estrato 3,7 a 8,No,No,No,No,0,0
20224,RURAL,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,PESCA,OFICIAL,S,BOYACA,M,PESCA,COLOMBIA,COLOMBIA,N,Tres,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,No,No,No,No,0,0
20162,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Primaria incompleta,Estrato 2,Cuatro,No,Si,Si,Si,0,1
20152,URBANO,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,TOPAGA,OFICIAL,S,BOYACA,M,TÓPAGA,COLOMBIA,COLOMBIA,N,Cuatro,Secundaria (Bachillerato) incompleta,Educación profesional completa,Estrato 2,Cinco,No,No,No,No,0,0
20152,URBANO,N,A,TÉCNICO,BOYACA,MIXTO,MAÑANA,FIRAVITOBA,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,Primaria incompleta,Estrato 2,Tres,No,No,No,No,0,0
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,NO OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) incompleta,No sabe,Estrato 3,3 a 4,No,Si,Si,Si,0,1
20201,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,DUITAMA,NO OFICIAL,S,BOYACA,F,DUITAMA,COLOMBIA,COLOMBIA,N,Dos,Educación profesional incompleta,Secundaria (Bachillerato) incompleta,Estrato 3,1 a 2,No,Si,Si,Si,0,0
20172,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,SOGAMOSO,NO OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 2,5 a 6,No,No,No,Si,0,1
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Técnica o tecnológica incompleta,Educación profesional incompleta,Estrato 2,3 a 4,No,Si,Si,Si,1,1
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,NO OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cinco,Educación profesional completa,Educación profesional incompleta,Estrato 2,5 a 6,Si,Si,Si,Si,0,1
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,TOTA,OFICIAL,S,BOYACA,M,TOTA,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Educación profesional incompleta,Estrato 1,3 a 4,No,Si,Si,Si,1,0
20172,URBANO,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,FIRAVITOBA,OFICIAL,S,BOYACA,M,FIRAVITOBA,COLOMBIA,COLOMBIA,N,Dos,Postgrado,Postgrado,Estrato 2,3 a 4,No,No,No,Si,1,1
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 2,3 a 4,No,Si,Si,Si,0,1
20172,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,N,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,No,No,Si,Si,0,1
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,COMPLETA,AQUITANIA,OFICIAL,S,BOYACA,F,AQUITANIA,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Primaria incompleta,Estrato 1,5 a 6,No,Si,No,Si,0,0
20224,URBANO,,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,SOGAMOSO,NO OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Educación profesional completa,Técnica o tecnológica incompleta,Estrato 2,3 a 4,Si,No,Si,No,1,1
20194,RURAL,N,A,TÉCNICO,BOYACA,MIXTO,UNICA,NOBSA,OFICIAL,S,BOYACA,F,NOBSA,COLOMBIA,COLOMBIA,N,Dos,Técnica o tecnológica completa,Primaria incompleta,Estrato 2,5 a 6,No,No,No,Si,0,0
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cuatro,Primaria completa,Primaria completa,Estrato 2,5 a 6,No,No,No,Si,0,0
20194,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,SOGAMOSO,NO OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Postgrado,Técnica o tecnológica completa,Estrato 2,3 a 4,Si,Si,Si,Si,1,1
20152,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Ocho,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,Ocho,No,Si,Si,Si,1,1
20142,URBANO,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,PAJARITO,OFICIAL,S,BOYACA,M,PAJARITO,COLOMBIA,COLOMBIA,N,Cuatro,Primaria completa,Secundaria (Bachillerato) completa,Estrato 2,Cuatro,No,Si,Si,Si,0,0
20152,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,Tres,No,No,Si,No,0,0
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,NOBSA,OFICIAL,S,BOYACA,F,NOBSA,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Primaria completa,Estrato 2,3 a 4,No,No,Si,Si,0,0
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,NO OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,,,,,,,,,,1,1
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 2,3 a 4,Si,No,No,Si,0,0
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,TOTA,OFICIAL,S,BOYACA,M,TOTA,COLOMBIA,COLOMBIA,N,Dos,Ninguno,Primaria incompleta,Estrato 2,3 a 4,No,Si,No,Si,0,0
20162,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,TARDE,SOGAMOSO,OFICIAL,S,BOYACA,M,NOBSA,COLOMBIA,COLOMBIA,N,Tres,Primaria incompleta,Primaria incompleta,Estrato 2,Cuatro,No,Si,No,Si,1,0
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,COMPLETA,AQUITANIA,OFICIAL,S,BOYACA,F,AQUITANIA,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,Primaria incompleta,Estrato 2,3 a 4,No,No,Si,Si,0,0
20224,URBANO,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,IZA,OFICIAL,S,BOYACA,M,IZA,COLOMBIA,COLOMBIA,N,Tres,Técnica o tecnológica completa,Educación profesional completa,Estrato 2,3 a 4,Si,Si,Si,Si,0,1
20162,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,N,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cuatro,Educación profesional completa,Técnica o tecnológica completa,Estrato 2,Cinco,No,Si,Si,Si,1,1
20194,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,TIBASOSA,OFICIAL,S,BOYACA,F,TIBASOSA,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) incompleta,Primaria incompleta,Estrato 1,5 a 6,Si,Si,No,No,0,0
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,TARDE,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Técnica o tecnológica completa,Educación profesional completa,Estrato 2,1 a 2,No,Si,Si,Si,0,1
20172,URBANO,,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,SOGAMOSO,NO OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Ninguno,Ninguno,Estrato 5,3 a 4,Si,Si,No,Si,1,1
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,Si,Si,Si,0,1
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,NO OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,No sabe,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,No,Si,Si,Si,1,1
20162,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,TOTA,OFICIAL,S,BOYACA,M,TOTA,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,Primaria incompleta,Estrato 1,Cinco,No,No,No,No,0,0
20194,RURAL,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,PESCA,OFICIAL,S,BOYACA,M,PESCA,COLOMBIA,COLOMBIA,N,Tres,Primaria completa,Técnica o tecnológica completa,Estrato 2,5 a 6,Si,Si,No,Si,0,0
20172,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Primaria incompleta,Primaria incompleta,Estrato 2,5 a 6,Si,No,Si,Si,0,0
20224,URBANO,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,MONGUÍ,OFICIAL,S,BOYACA,F,MONGUÍ,COLOMBIA,COLOMBIA,N,Tres,Educación profesional completa,Primaria incompleta,Estrato 2,3 a 4,Si,Si,Si,Si,0,0
20221,URBANO,,A,ACADÉMICO,BOYACA,MIXTO,SABATINA,SOGAMOSO,NO OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,,,,,,,,,,0,0
20152,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,TOTA,OFICIAL,S,BOYACA,F,TOTA,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) incompleta,Primaria completa,Estrato 1,Cinco,No,Si,No,No,0,0
20152,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cuatro,Secundaria (Bachillerato) incompleta,Primaria incompleta,Estrato 1,Cuatro,No,No,No,Si,0,0
20162,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 2,Cinco,No,No,No,No,0,1
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) completa,Educación profesional completa,Estrato 2,3 a 4,Si,Si,Si,Si,0,1
20152,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Primaria incompleta,Primaria completa,Estrato 2,Cinco,No,Si,No,No,0,0
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,NOBSA,OFICIAL,S,BOYACA,F,NOBSA,COLOMBIA,COLOMBIA,N,Dos,,,,5 a 6,No,No,,No,0,0
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,COMPLETA,SOGAMOSO,NO OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,,,,,,,,,,0,1
20152,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,COMPLETA,LABRANZAGRANDE,OFICIAL,S,BOYACA,M,LABRANZAGRANDE,COLOMBIA,COLOMBIA,N,Cuatro,Primaria completa,Primaria incompleta,Estrato 1,Seis,No,No,No,No,1,0
20194,RURAL,,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,TIBASOSA,OFICIAL,S,BOYACA,F,TIBASOSA,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) incompleta,Primaria incompleta,Estrato 2,3 a 4,No,No,No,No,0,0
20172,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Educación profesional completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,No,Si,Si,Si,1,1
20172,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,PESCA,OFICIAL,S,BOYACA,M,PESCA,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,Si,Si,No,0,0
20142,URBANO,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,NOBSA,NO OFICIAL,S,BOYACA,M,MONGUA,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,Primaria completa,Estrato 1,Cinco,No,Si,No,No,0,0
20152,RURAL,N,A,TÉCNICO,BOYACA,MIXTO,COMPLETA,BETEITIVA,OFICIAL,S,BOYACA,F,BETÉITIVA,COLOMBIA,COLOMBIA,N,Dos,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 2,Tres,No,Si,No,No,0,0
20194,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,PESCA,OFICIAL,S,BOYACA,M,PESCA,COLOMBIA,COLOMBIA,N,Dos,Primaria incompleta,Primaria incompleta,Estrato 1,5 a 6,No,No,No,No,0,0
20142,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,TARDE,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,Cinco,No,Si,Si,Si,0,0
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,NO OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cuatro,Técnica o tecnológica incompleta,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,Si,Si,Si,0,1
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,Si,Si,Si,1,1
20152,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,TARDE,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Tres,Secundaria (Bachillerato) completa,Primaria completa,Estrato 2,Cinco,No,Si,No,Si,0,0
20194,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Seis o mas,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,7 a 8,Si,Si,Si,Si,0,1
20152,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cuatro,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 3,Tres,Si,Si,Si,Si,1,1
20142,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,NOBSA,OFICIAL,S,BOYACA,M,NOBSA,COLOMBIA,COLOMBIA,N,Tres,Primaria completa,Ninguno,Estrato 1,Tres,Si,No,Si,Si,0,0
20194,RURAL,,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Ninguno,Ninguno,Estrato 1,3 a 4,No,No,No,No,0,0
20162,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,Primaria completa,Técnica o tecnológica completa,Estrato 2,Cuatro,No,Si,Si,No,0,1
20224,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,COMPLETA,SOGAMOSO,NO OFICIAL,S,BOYACA,F,SOGAMOSO,COLOMBIA,COLOMBIA,N,Cuatro,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,No,Si,Si,Si,1,1
20224,URBANO,N,A,TÉCNICO/ACADÉMICO,BOYACA,MIXTO,MAÑANA,SOGAMOSO,OFICIAL,S,BOYACA,M,SOGAMOSO,COLOMBIA,COLOMBIA,N,Dos,,Secundaria (Bachillerato) completa,Estrato 2,1 a 2,No,Si,,Si,1,1
20142,URBANO,N,A,ACADÉMICO,BOYACA,MIXTO,MAÑANA,TOTA,OFICIAL,S,BOYACA,M,TOTA,COLOMBIA,COLOMBIA,N,Tres,Primaria completa,Primaria completa,Estrato 1,Siete,No,Si,No,Si,0,0
